date,attendance
2025-02-10,1
2025-02-11,1
2025-02-12,1
2025-02-13,1
2025-02-14,1
2025-02-17,0
2025-02-18,0
2025-02-19,1
2025-02-20,0
2025-02-21,0
2025-02-24,1
2025-02-25,1
2025-02-26,1
2025-02-27,0
2025-02-28,0
2025-03-03,1
2025-03-04,1
2025-03-05,0
2025-03-06,1
2025-03-07,1
2025-03-10,1
2025-03-11,1
2025-03-12,1
2025-03-13,0
2025-03-14,1
2025-03-17,1
2025-03-18,0
2025-03-19,0
2025-03-20,1
2025-03-21,1
2025-03-24,1
2025-03-25,0
2025-03-26,0
2025-03-27,1
2025-03-28,1
2025-04-07,1
2025-04-08,1
2025-04-09,0
2025-04-10,1
2025-04-11,1
2025-04-14,0
2025-04-15,1
2025-04-16,0
2025-04-17,1
2025-04-18,1
2025-04-21,0
2025-04-22,1
2025-04-23,1
2025-04-24,1
2025-04-25,1
2025-04-28,1
2025-04-29,0
2025-04-30,0
2025-05-01,0
2025-05-02,1
2025-05-05,1
2025-05-06,0
2025-05-07,1
2025-05-08,1
2025-05-09,1
2025-05-12,1
2025-05-13,1
2025-05-14,1
2025-05-15,1
2025-05-16,1
2025-05-19,1
2025-05-20,1
2025-05-21,1
2025-05-22,1
2025-05-23,1
